x,y,z,reading,B
1,1,-4,478.95,0.047895
1,5,-4,478.68,0.047868
1,9,-4,478.55,0.047855
1,13,-4,478.45,0.047845
1,17,-4,478.46,0.047846
5,-15,-4,481.37,0.048137
5,-11,-4,480.72,0.048072
5,-7,-4,480.09,0.048009
5,-3,-4,479.55,0.047955
5,1,-4,479.27,0.047927
5,5,-4,478.82,0.047882
5,9,-4,478.71,0.047871
5,13,-4,478.71,0.047871
5,17,-4,478.69,0.047869
9,-15,-4,482.56,0.048256
9,-11,-4,481.67,0.048167
9,-7,-4,480.82,0.048082
9,-3,-4,480.24,0.048024
9,1,-4,479.66,0.047966
9,5,-4,479.28,0.047928
9,9,-4,479.06,0.047906
9,13,-4,479.06,0.047906
9,17,-4,478.96,0.047896
13,-11,-4,483.04,0.048304
13,-7,-4,482.05,0.048205
13,-3,-4,481.09,0.048109
13,1,-4,480.46,0.048046
13,5,-4,479.96,0.047996
13,9,-4,479.71,0.047971
13,13,-4,479.5,0.04795
17,-7,-4,483.51,0.048351
17,-3,-4,482.39,0.048239
17,1,-4,481.52,0.048152
17,5,-4,480.88,0.048088
17,9,-4,480.42,0.048042
-20,0,0,477.35,0.047735
-16,-12,0,479.77,0.047977
-16,-8,0,479.18,0.047918
-16,-4,0,478.57,0.047857
-16,0,0,478.15,0.047815
-16,4,0,477.83,0.047783
-16,8,0,477.67,0.047767
-16,12,0,477.71,0.047771
-12,-16,0,480.59,0.048059
-12,-12,0,479.87,0.047987
-12,-8,0,479.39,0.047939
-12,-4,0,478.85,0.047885
-12,0,0,478.53,0.047853
-12,4,0,478.31,0.047831
-12,8,0,478.16,0.047816
-12,12,0,478.1,0.04781
-12,16,0,478.08,0.047808
-8,-16,0,480.57,0.048057
-8,-12,0,480.1,0.04801
-8,-8,0,479.63,0.047963
-8,-4,0,479.27,0.047927
-8,0,0,478.88,0.047888
-8,4,0,478.72,0.047872
-8,8,0,478.52,0.047852
-8,12,0,478.48,0.047848
-8,16,0,478.41,0.047841
-4,-16,0,480.93,0.048093
-4,-12,0,480.46,0.048046
-4,-8,0,480.1,0.04801
-4,-4,0,479.62,0.047962
-4,0,0,479.39,0.047939
-4,4,0,479.16,0.047916
-4,8,0,478.97,0.047897
-4,12,0,478.86,0.047886
-4,16,0,478.76,0.047876
0,-20,0,481.7,0.04817
0,-16,0,481.52,0.048152
0,-12,0,481.04,0.048104
0,-8,0,480.59,0.048059
0,-4,0,480.18,0.048018
0,0,0,479.77,0.047977
0,4,0,479.6,0.04796
0,8,0,479.31,0.047931
0,12,0,479.27,0.047927
0,16,0,479.17,0.047917
0,20,0,479.16,0.047916
4,-16,0,482.23,0.048223
4,-12,0,481.99,0.048199
4,-8,0,481.57,0.048157
4,-4,0,481.09,0.048109
4,0,0,480.72,0.048072
4,4,0,480.24,0.048024
4,8,0,479.98,0.047998
4,12,0,479.84,0.047984
4,16,0,479.74,0.047974
8,-16,0,484.27,0.048427
8,-12,0,483.55,0.048355
8,-8,0,482.85,0.048285
8,-4,0,482.18,0.048218
8,0,0,481.66,0.048166
8,4,0,481.18,0.048118
8,8,0,480.68,0.048068
8,12,0,480.39,0.048039
8,16,0,480.27,0.048027
12,-16,0,486.25,0.048625
12,-12,0,485.27,0.048527
12,-8,0,484.25,0.048425
12,-4,0,483.31,0.048331
12,0,0,482.63,0.048263
12,4,0,481.98,0.048198
12,8,0,481.41,0.048141
12,12,0,481.13,0.048113
12,16,0,480.85,0.048085
16,-12,0,487.49,0.048749
16,-8,0,486.21,0.048621
16,-4,0,485.03,0.048503
16,0,0,484.02,0.048402
16,4,0,483.07,0.048307
16,8,0,482.38,0.048238
16,12,0,481.91,0.048191
20,0,0,485.71,0.048571
-19,-3,4,478.72,0.047872
-19,1,4,479.2,0.04792
-15,-11,4,480.94,0.048094
-15,-7,4,480.51,0.048051
-15,-3,4,480.07,0.048007
-15,1,4,479.74,0.047974
-15,5,4,479.41,0.047941
-15,9,4,479.22,0.047922
-11,-15,4,481.61,0.048161
