x y z
6 14 8
10 -14 8
10 -10 8
10 -6 8
10 -2 8
10 2 8
10 6 8
10 10 8
10 14 8
14 -10 8
14 -6 8
14 -2 8
14 2 8
14 6 8
14 10 8
18 -2 8
18 2 8
-16 0 12
-12 -8 12
-12 -4 12
-12 0 12
-12 4 12
-12 8 12
-8 -12 12
-8 -8 12
-8 -4 12
-8 0 12
-8 4 12
-8 8 12
-8 12 12
-4 -12 12
-4 -8 12
-4 -4 12
-4 0 12
-4 4 12
-4 8 12
-4 12 12
0 -16 12
0 -12 12
0 -8 12
0 -4 12
0 0 12
0 4 12
0 8 12
0 12 12
0 16 12
4 -12 12
4 -8 12
4 -4 12
4 0 12
4 4 12
4 8 12
4 12 12
8 -12 12
8 -8 12
8 -4 12
8 0 12
8 4 12
8 8 12
8 12 12
12 -8 12
12 -4 12
12 0 12
12 4 12
12 8 12
16 0 12
-12 0 16
-8 -8 16
-8 -4 16
-8 0 16
-8 4 16
-8 8 16
-4 -8 16
-4 -4 16
-4 0 16
-4 4 16
-4 8 16
0 -12 16
0 -8 16
0 -4 16
0 0 16
0 4 16
0 8 16
0 12 16
4 -8 16
4 -4 16
4 0 16
4 4 16
4 8 16
8 -8 16
8 -4 16
8 0 16
8 4 16
8 8 16
12 0 16
0 0 20
